student_id, name, dob, section
BA<info>, Wonderful Lalande, 20-5-1957, A
IT<info>, Nice Swanson, 27-3-1944, B
BA<info>, Brave Johnson, 8-5-1968, B
BA<info>, Elated Jepsen, 26-9-2000, A
IT<info>, Recursing Liskov, 1-12-1993, B
BA<info>, Pensive Allen, 31-12-1962, A
IT<info>, Distracted Wozniak, 29-3-2002, B
BA<info>, Agitated Williams, 25-12-1976, B
IT<info>, Recursing Mclean, 9-9-1964, A
BA<info>, Pensive Ride, 17-7-1978, B
IT<info>, Dazzling Brattain, 17-12-1950, B
BA<info>, Xenodochial Almeida, 11-11-1957, B
BA<info>, Elegant Turing, 13-10-1976, B
IT<info>, Determined Poincare, 13-6-1944, A
BA<info>, Youthful Hodgkin, 13-8-1955, A
IT<info>, Nervous Brown, 13-2-1984, B
BA<info>, Brave Goldstine, 1-4-1973, A
BA<info>, Competent Leakey, 29-10-2008, B
BA<info>, Pensive Brattain, 27-8-1948, B
IT<info>, Elegant Murdock, 28-11-1968, A
BA<info>, Agitated Lederberg, 30-11-1988, B
BA<info>, Condescending Germain, 1-9-1941, A
BA<info>, Amazing Galileo, 13-8-2002, A
IT<info>, Naughty Jennings, 1-10-1941, B
IT<info>, Quirky Ellis, 7-3-1951, B
BA<info>, Wizardly Dijkstra, 27-7-1954, B
BA<info>, Stoic Mestorf, 4-2-2010, B
BA<info>, Sad Wilson, 20-11-2012, B
BA<info>, Sleepy Nightingale, 14-8-2008, A
IT<info>, Intelligent Euler, 26-2-1973, B
IT<info>, Interesting Jang, 24-12-1941, B
IT<info>, Beautiful Poincare, 6-5-2002, A
IT<info>, Quirky Faraday, 12-1-1942, A
BA<info>, Zealous Liskov, 15-5-2008, B
BA<info>, Modest Cannon, 27-9-2002, A
BA<info>, Wizardly Hellman, 8-1-1979, A
IT<info>, Confident Tharp, 10-6-1949, A
IT<info>, Unruffled Borg, 30-1-1981, A
IT<info>, Charming Tesla, 10-7-1961, B
IT<info>, Zen Mclaren, 18-2-2010, B
IT<info>, Recursing Pascal, 21-9-1982, A
IT<info>, Musing Pike, 17-7-1943, A
IT<info>, Naughty Joliot, 9-5-1983, A
IT<info>, Relaxed Rubin, 28-6-1996, B
IT<info>, Trusting Dirac, 27-9-1975, A
BA<info>, Stupefied Heyrovsky, 31-10-1949, B
IT<info>, Magical Feynman, 16-2-1957, A
IT<info>, Fervent Easley, 12-9-1980, A
IT<info>, Naughty Lovelace, 20-2-2006, A
BA<info>, Jovial Northcutt, 14-6-1962, A
IT<info>, Intelligent Banach, 6-4-2005, A
BA<info>, Heuristic Newton, 22-4-1946, B
BA<info>, Sweet Napier, 22-2-1994, B
IT<info>, Gallant Brattain, 2-12-1947, A
